Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
21.7095880508	0	-1139.7527	188.79036	-944.31165	-1514.2247	200.0	0.0	1200	1200
22.2264859676	1	-1466.5375	12.457613	-1454.3379	-1492.2747	200.0	0.0	1200	2400
22.6083199978	2	-1558.4941	66.38111	-1472.259	-1644.1606	200.0	0.0	1200	3600
22.9946849346	3	-1613.0083	27.970875	-1579.5637	-1653.6616	200.0	0.0	1200	4800
23.4095790386	4	-1633.5477	23.177517	-1597.2333	-1653.6213	200.0	0.0	1200	6000
23.8149168491	5	-1630.5822	22.132605	-1597.587	-1657.8918	200.0	0.0	1200	7200
24.2152588367	6	-1643.1788	13.677114	-1620.4397	-1657.5225	200.0	0.0	1200	8400
24.6031038761	7	-1609.3065	25.335966	-1580.4885	-1648.6666	200.0	0.0	1200	9600
25.0149600506	8	-1603.5223	25.002676	-1557.2263	-1639.4299	200.0	0.0	1200	10800
25.4029810429	9	-1624.3109	35.685623	-1551.1643	-1655.7383	200.0	0.0	1200	12000
46.4652268887	10	-1618.9213	11.711201	-1601.9822	-1639.2551	200.0	0.0	1200	13200
46.858923912	11	-1559.792	57.057373	-1487.7047	-1636.562	200.0	0.0	1200	14400
47.2693538666	12	-1515.611	25.44761	-1475.9601	-1559.6172	200.0	0.0	1200	15600
47.6655068398	13	-1461.8091	34.389206	-1386.1062	-1489.5984	200.0	0.0	1200	16800
48.0772309303	14	-1497.8153	30.893873	-1436.9121	-1533.984	200.0	0.0	1200	18000
48.4937009811	15	-1483.019	51.97159	-1396.3055	-1574.8994	200.0	0.0	1200	19200
48.8991110325	16	-1517.2031	23.03851	-1480.3638	-1547.8257	200.0	0.0	1200	20400
49.3598589897	17	-1489.1583	25.079079	-1459.2131	-1535.4009	200.0	0.0	1200	21600
49.7979128361	18	-1504.1729	54.11023	-1388.273	-1558.5316	200.0	0.0	1200	22800
50.2120480537	19	-1499.0238	30.176722	-1455.5992	-1534.2764	200.0	0.0	1200	24000
71.4373040199	20	-1552.0267	39.586884	-1490.0765	-1623.4502	200.0	0.0	1200	25200
71.8386900425	21	-1543.3008	32.066715	-1505.197	-1605.9146	200.0	0.0	1200	26400
72.251183033	22	-1595.9243	29.054445	-1546.6302	-1629.8296	200.0	0.0	1200	27600
72.6627919674	23	-1591.6776	48.906757	-1504.5331	-1637.3456	200.0	0.0	1200	28800
73.0708379745	24	-1610.7599	39.511578	-1550.6394	-1651.0493	200.0	0.0	1200	30000
73.4802489281	25	-1591.544	42.08384	-1531.8069	-1652.2183	200.0	0.0	1200	31200
73.8863928318	26	-1616.0077	22.402052	-1586.863	-1650.6299	200.0	0.0	1200	32400
74.3001739979	27	-1633.9205	18.230616	-1610.2566	-1655.6741	200.0	0.0	1200	33600
74.7195198536	28	-1614.608	51.103302	-1506.82	-1655.7455	200.0	0.0	1200	34800
75.1470279694	29	-1645.8842	10.379529	-1624.373	-1655.9631	200.0	0.0	1200	36000
