Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.37460398674	0	-1078.9666	180.8942	-758.8512	-1514.2247	200.0	0.0	10200	10200
6.49900698662	1	-1724.9537	101.60116	-1487.3795	-1893.0726	200.0	0.0	10200	20400
9.55450105667	2	-1788.9088	94.68868	-1541.5117	-1911.6384	200.0	0.0	10200	30600
12.5445590019	3	-1786.1586	66.64392	-1605.292	-1890.0562	200.0	0.0	10200	40800
15.5338411331	4	-1731.4724	79.07194	-1532.8428	-1850.21	200.0	0.0	10200	51000
18.5582420826	5	-1665.7549	78.087975	-1420.1606	-1769.2024	200.0	0.0	10200	61200
21.5694050789	6	-1576.1216	79.19048	-1207.0693	-1659.3245	200.0	0.0	10200	71400
24.5926830769	7	-1508.6074	67.019165	-1248.1064	-1578.2385	200.0	0.0	10200	81600
27.5843660831	8	-1466.1488	80.85834	-1082.3927	-1531.1549	200.0	0.0	10200	91800
30.6062030792	9	-1467.3612	46.22718	-1300.1212	-1525.3247	200.0	0.0	10200	102000
33.5849809647	10	-1466.6581	45.60226	-1296.5016	-1514.6542	200.0	0.0	10200	112200
36.5808539391	11	-1457.9109	41.787148	-1371.9954	-1517.5737	200.0	0.0	10200	122400
39.5811650753	12	-1422.0188	81.27091	-1137.3386	-1514.0199	200.0	0.0	10200	132600
42.634606123	13	-1391.1509	76.27506	-1236.696	-1521.8955	200.0	0.0	10200	142800
45.7324271202	14	-1323.7068	109.114235	-1154.8656	-1516.8853	200.0	0.0	10200	153000
48.7574789524	15	-1252.098	141.40068	-1077.4948	-1513.9978	200.0	0.0	10200	163200
51.8438670635	16	-1276.4738	193.0514	-963.65265	-1520.7338	200.0	0.0	10200	173400
54.8731760979	17	-1204.261	197.6225	-841.4047	-1524.9802	200.0	0.0	10200	183600
57.914607048	18	-1372.379	113.25024	-1065.123	-1515.7295	200.0	0.0	10200	193800
60.9272949696	19	-1405.6528	123.01464	-1165.6107	-1604.1584	200.0	0.0	10200	204000
63.943488121	20	-1474.4847	118.809654	-1149.771	-1646.4398	200.0	0.0	10200	214200
66.9517381191	21	-1531.3057	111.17177	-1098.6387	-1653.4968	200.0	0.0	10200	224400
69.9713261127	22	-1551.0172	89.1688	-1245.9265	-1651.2925	200.0	0.0	10200	234600
72.9585990906	23	-1538.9666	79.44114	-1258.8981	-1654.2294	200.0	0.0	10200	244800
76.0021531582	24	-1564.188	65.03629	-1452.6129	-1652.0461	200.0	0.0	10200	255000
79.0211801529	25	-1555.8325	57.078907	-1446.7928	-1654.2305	200.0	0.0	10200	265200
82.1096229553	26	-1562.3558	65.62595	-1435.352	-1655.8109	200.0	0.0	10200	275400
