Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.00995707512	0	17.20339	5.229576	33.0	9.0	17.203389830508474	5.229575803573394	1015	1015
3.31507611275	1	12.481482	3.5489907	26.0	8.0	12.481481481481481	3.548990853301479	1011	2026
3.51621198654	2	11.10989	2.150648	20.0	8.0	11.10989010989011	2.1506479956308464	1011	3037
3.71610307693	3	10.350515	1.6748056	16.0	8.0	10.350515463917526	1.674805648754826	1004	4041
3.91964006424	4	9.970297	1.2384553	14.0	8.0	9.970297029702971	1.2384551662866397	1007	5048
4.1372449398	5	10.08	1.4469277	15.0	8.0	10.08	1.4469277798148739	1008	6056
4.34727907181	6	9.747573	1.3272239	16.0	8.0	9.74757281553398	1.3272238827677716	1004	7060
4.56009793282	7	9.6	0.9621405	13.0	8.0	9.6	0.9621404708847278	1008	8068
4.77487492561	8	9.533334	1.1469767	15.0	8.0	9.533333333333333	1.1469767022723503	1001	9069
4.99001002312	9	9.571428	0.9646825	12.0	8.0	9.571428571428571	0.9646824580648077	1005	10074
6.18264007568	10	9.429907	0.9080342	13.0	8.0	9.429906542056075	0.9080342281488687	1009	11083
6.3992600441	11	9.333333	0.8050764	12.0	8.0	9.333333333333334	0.8050764858994133	1008	12091
6.6172990799	12	9.420561	0.8758161	12.0	8.0	9.42056074766355	0.8758161286306243	1008	13099
6.83405804634	13	9.268518	0.7888867	11.0	8.0	9.268518518518519	0.7888867153508571	1001	14100
7.050770998	14	9.373832	0.7676078	11.0	8.0	9.373831775700934	0.7676078205002269	1003	15103
7.26815295219	15	9.351851	0.724119	12.0	8.0	9.351851851851851	0.7241190665191538	1010	16113
7.48778510094	16	9.411215	0.7482474	11.0	8.0	9.411214953271028	0.7482474355606764	1007	17120
7.7102189064	17	9.35514	0.7643009	11.0	8.0	9.355140186915888	0.7643008710377897	1001	18121
7.93870711327	18	9.305555	0.8103307	11.0	8.0	9.305555555555555	0.8103306747674902	1005	19126
8.16841697693	19	9.490566	0.69016385	11.0	8.0	9.49056603773585	0.6901638172895049	1006	20132
9.22861790657	20	9.401869	0.6952417	11.0	8.0	9.401869158878505	0.6952416790055062	1006	21138
9.50727701187	21	9.373832	0.7676078	11.0	8.0	9.373831775700934	0.7676078205002269	1003	22141
9.73549389839	22	9.401869	0.7955462	11.0	8.0	9.401869158878505	0.7955461661693612	1006	23147
9.96543908119	23	9.342592	0.74736625	11.0	8.0	9.342592592592593	0.7473662030267436	1009	24156
10.2000150681	24	9.35514	0.7519736	11.0	8.0	9.355140186915888	0.7519735585006145	1001	25157
10.4334309101	25	9.256881	0.669159	11.0	8.0	9.256880733944953	0.6691589918829529	1009	26166
10.6696870327	26	9.364486	0.7155486	11.0	8.0	9.36448598130841	0.7155485885065783	1002	27168
10.9082961082	27	9.35514	0.7266919	11.0	8.0	9.355140186915888	0.7266918570577103	1001	28169
11.1432700157	28	9.296296	0.7729125	11.0	8.0	9.296296296296296	0.7729124723966373	1004	29173
11.381305933	29	9.351851	0.6980769	11.0	8.0	9.351851851851851	0.6980769194433616	1010	30183
12.5043818951	30	9.35514	0.7519736	11.0	8.0	9.355140186915888	0.7519735585006145	1001	31184
12.7487959862	31	9.220183	0.72133666	11.0	8.0	9.220183486238533	0.721336656379937	1005	32189
12.9926559925	32	9.383178	0.71883684	11.0	8.0	9.383177570093459	0.7188368045992304	1004	33193
13.2551450729	33	9.211009	0.73038125	11.0	8.0	9.211009174311927	0.73038125642184	1004	34197
13.5176138878	34	9.136364	0.7195615	11.0	8.0	9.136363636363637	0.7195613907383596	1005	35202
13.7757239342	35	9.277778	0.69166106	11.0	8.0	9.277777777777779	0.6916610887771517	1002	36204
14.0304789543	36	9.305555	0.7752937	11.0	8.0	9.305555555555555	0.7752936520529369	1005	37209
14.2833280563	37	9.443397	0.7780016	11.0	8.0	9.443396226415095	0.7780016573592143	1001	38210
14.5383300781	38	9.324074	0.6780787	11.0	8.0	9.324074074074074	0.6780787633659133	1007	39217
14.7905249596	39	9.373832	0.7428584	11.0	8.0	9.373831775700934	0.7428583906257068	1003	40220
16.1313169003	40	9.471698	0.72953266	11.0	8.0	9.471698113207546	0.7295326388370266	1004	41224
16.3868210316	41	9.296296	0.76083845	11.0	8.0	9.296296296296296	0.7608384660805236	1004	42228
16.6455750465	42	9.333333	0.70710677	11.0	8.0	9.333333333333334	0.7071067811865476	1008	43236
16.9039840698	43	9.439252	0.8336113	11.0	8.0	9.439252336448599	0.8336113316253368	1010	44246
17.1682291031	44	9.333333	0.7698003	11.0	8.0	9.333333333333334	0.769800358919501	1008	45254
17.4296560287	45	9.268518	0.68861747	11.0	8.0	9.268518518518519	0.6886175291908538	1001	46255
17.6967830658	46	9.383178	0.74438536	11.0	8.0	9.383177570093459	0.7443853365136404	1004	47259
17.9619181156	47	9.401869	0.759486	11.0	8.0	9.401869158878505	0.7594859683704689	1006	48265
18.2375431061	48	9.373832	0.7553345	11.0	8.0	9.373831775700934	0.7553344804178225	1003	49268
18.511920929	49	9.287037	0.7582989	11.0	8.0	9.287037037037036	0.7582988505704107	1003	50271
19.781265974	50	9.314815	0.80101955	11.0	8.0	9.314814814814815	0.8010195834771173	1006	51277
20.0725719929	51	9.45283	0.7413918	11.0	8.0	9.452830188679245	0.7413918001656039	1002	52279
20.3492820263	52	9.383178	0.73172265	11.0	8.0	9.383177570093459	0.7317225843388181	1004	53283
20.6295371056	53	9.443397	0.83643657	11.0	8.0	9.443396226415095	0.8364366093704854	1001	54284
20.9184091091	54	9.35514	0.75197357	11.0	8.0	9.355140186915888	0.7519735585006145	1001	55285
21.2012350559	55	9.314815	0.6617618	11.0	8.0	9.314814814814815	0.6617617920446532	1006	56291
21.4866731167	56	9.364486	0.68893147	11.0	8.0	9.36448598130841	0.6889314951021351	1002	57293
21.7904241085	57	9.229358	0.77380306	11.0	8.0	9.229357798165138	0.7738030416131944	1006	58299
22.0907850266	58	9.342592	0.79538065	11.0	8.0	9.342592592592593	0.7953806104631201	1009	59308
22.3877630234	59	9.429907	0.6713377	11.0	8.0	9.429906542056075	0.6713377568623541	1009	60317
23.8084909916	60	9.364486	0.7660131	11.0	8.0	9.36448598130841	0.7660131445699504	1002	61319
24.1099441051	61	9.266055	0.83107316	11.0	8.0	9.26605504587156	0.8310731631297809	1010	62329
24.3998429775	62	9.35514	0.7266919	11.0	8.0	9.355140186915888	0.7266918570577104	1001	63330
24.6967320442	63	9.296296	0.7608385	11.0	8.0	9.296296296296296	0.7608384660805235	1004	64334
