Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
34.5475740433	0	0.9047619	0.6098214	2.0	0.0	241.8095238095238	34.44058935342625	5078	5078
38.495290041	1	1.7894737	1.0041465	3.0	0.0	273.6842105263158	57.69525441725227	5200	10278
42.2039330006	2	1.9473684	1.1458706	4.0	0.0	267.42105263157896	63.21918079147023	5081	15359
46.0720279217	3	2.1666667	1.6414763	4.0	0.0	292.05555555555554	94.57535045444054	5257	20616
49.7977011204	4	1.9473684	1.356221	4.0	0.0	272.36842105263156	70.93748955117255	5175	25791
53.4973640442	5	2.0625	1.1439378	4.0	0.0	325.1875	66.1005094061309	5203	30994
57.1446509361	6	2.0	1.2060454	4.0	0.0	461.27272727272725	89.3278852004242	5074	36068
61.040667057	7	1.8333334	0.89752746	3.0	0.0	918.5	352.4914892589607	5511	41579
65.5426740646	8	3.3333333	0.4714045	4.0	3.0	2104.0	892.3478395035573	6312	47891
72.5979559422	9	0.0	0.0	0.0	0.0	10000.0	0.0	10000	57891
