Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
21.6251029968	0	-1139.7527	188.79036	-944.31165	-1514.2247	200.0	0.0	1200	1200
22.0109508038	1	-1472.3466	10.0084305	-1453.5527	-1484.889	200.0	0.0	1200	2400
22.2661719322	2	-1571.5121	52.17268	-1500.4565	-1634.0586	200.0	0.0	1200	3600
22.5223488808	3	-1617.2549	24.47403	-1587.8191	-1653.0525	200.0	0.0	1200	4800
22.7818179131	4	-1633.4691	23.30258	-1598.0076	-1655.4589	200.0	0.0	1200	6000
23.0380709171	5	-1616.756	46.658077	-1519.6443	-1657.7681	200.0	0.0	1200	7200
23.2992329597	6	-1642.8307	14.39837	-1618.0663	-1658.724	200.0	0.0	1200	8400
23.564950943	7	-1586.0635	73.05801	-1430.1951	-1651.1904	200.0	0.0	1200	9600
23.8297078609	8	-1593.9884	30.123991	-1557.9751	-1636.0845	200.0	0.0	1200	10800
24.0973420143	9	-1635.8447	22.756306	-1595.4602	-1659.0574	200.0	0.0	1200	12000
